,Base £,Company uplift
Senior Responsible Industry Exec (SRIE) / Bid Sponsor,"£1,600.00","£2,240.00"
Bid Director,£850.00,"£1,190.00"
Bid / Pursuit Lead,£850.00,"£1,190.00"
Bid Manager,£650.00,£910.00
Technical / Solution Owner,£850.00,"£1,190.00"
Delivery / Transformation Director,£850.00,"£1,190.00"
Commercial Lead,£850.00,"£1,190.00"
Solution Architect,£850.00,"£1,190.00"
Subject Matter Expert (SME),£850.00,"£1,190.00"
Bid Writer / Senior Bid Writer,£550.00,£770.00
Bid Coordinator,£350.00,£490.00
Legal,£650.00,£910.00
