Value Band,FY,Bid Bracket,Framework,Notice Count
£5m-£20m,FY2020/21,1 (sole),Non-framework,56
£5m-£20m,FY2020/21,10+,Non-framework,34
£5m-£20m,FY2020/21,2-3,Non-framework,37
£5m-£20m,FY2020/21,2-3,Framework,1
£5m-£20m,FY2020/21,4-6,Non-framework,24
£5m-£20m,FY2020/21,7-10,Non-framework,30
£5m-£20m,FY2020/21,Unknown,Non-framework,56
£5m-£20m,FY2020/21,Unknown,Framework,3
£5m-£20m,FY2021/22,1 (sole),Non-framework,92
£5m-£20m,FY2021/22,1 (sole),Framework,14
£5m-£20m,FY2021/22,10+,Non-framework,41
£5m-£20m,FY2021/22,10+,Framework,19
£5m-£20m,FY2021/22,2-3,Non-framework,121
£5m-£20m,FY2021/22,2-3,Framework,16
£5m-£20m,FY2021/22,4-6,Non-framework,79
£5m-£20m,FY2021/22,4-6,Framework,20
£5m-£20m,FY2021/22,7-10,Non-framework,34
£5m-£20m,FY2021/22,7-10,Framework,14
£5m-£20m,FY2021/22,Unknown,Non-framework,80
£5m-£20m,FY2021/22,Unknown,Framework,1
£5m-£20m,FY2022/23,1 (sole),Non-framework,108
£5m-£20m,FY2022/23,1 (sole),Framework,8
£5m-£20m,FY2022/23,10+,Non-framework,35
£5m-£20m,FY2022/23,10+,Framework,31
£5m-£20m,FY2022/23,2-3,Non-framework,125
£5m-£20m,FY2022/23,2-3,Framework,18
£5m-£20m,FY2022/23,4-6,Non-framework,92
£5m-£20m,FY2022/23,4-6,Framework,21
£5m-£20m,FY2022/23,7-10,Non-framework,25
£5m-£20m,FY2022/23,7-10,Framework,26
£5m-£20m,FY2022/23,Unknown,Non-framework,76
£5m-£20m,FY2023/24,1 (sole),Non-framework,159
£5m-£20m,FY2023/24,1 (sole),Framework,11
£5m-£20m,FY2023/24,10+,Non-framework,38
£5m-£20m,FY2023/24,10+,Framework,29
£5m-£20m,FY2023/24,2-3,Non-framework,134
£5m-£20m,FY2023/24,2-3,Framework,24
£5m-£20m,FY2023/24,4-6,Non-framework,101
£5m-£20m,FY2023/24,4-6,Framework,33
£5m-£20m,FY2023/24,7-10,Non-framework,36
£5m-£20m,FY2023/24,7-10,Framework,28
£5m-£20m,FY2023/24,Unknown,Non-framework,79
£5m-£20m,FY2023/24,Unknown,Framework,1
£5m-£20m,FY2024/25,1 (sole),Non-framework,278
£5m-£20m,FY2024/25,1 (sole),Framework,14
£5m-£20m,FY2024/25,10+,Non-framework,56
£5m-£20m,FY2024/25,10+,Framework,36
£5m-£20m,FY2024/25,2-3,Non-framework,154
£5m-£20m,FY2024/25,2-3,Framework,23
£5m-£20m,FY2024/25,4-6,Non-framework,135
£5m-£20m,FY2024/25,4-6,Framework,25
£5m-£20m,FY2024/25,7-10,Non-framework,60
£5m-£20m,FY2024/25,7-10,Framework,19
£5m-£20m,FY2024/25,Unknown,Non-framework,75
£5m-£20m,FY2024/25,Unknown,Framework,2
£5m-£20m,FY2025/26,1 (sole),Non-framework,286
£5m-£20m,FY2025/26,1 (sole),Framework,7
£5m-£20m,FY2025/26,10+,Non-framework,38
£5m-£20m,FY2025/26,10+,Framework,30
£5m-£20m,FY2025/26,2-3,Non-framework,108
£5m-£20m,FY2025/26,2-3,Framework,17
£5m-£20m,FY2025/26,4-6,Non-framework,84
£5m-£20m,FY2025/26,4-6,Framework,20
£5m-£20m,FY2025/26,7-10,Non-framework,39
£5m-£20m,FY2025/26,7-10,Framework,15
£5m-£20m,FY2025/26,Unknown,Non-framework,45
£5m-£20m,FY2025/26,Unknown,Framework,2
£20m-£50m,FY2020/21,1 (sole),Non-framework,15
£20m-£50m,FY2020/21,10+,Non-framework,9
£20m-£50m,FY2020/21,2-3,Non-framework,10
£20m-£50m,FY2020/21,4-6,Non-framework,13
£20m-£50m,FY2020/21,4-6,Framework,1
£20m-£50m,FY2020/21,7-10,Non-framework,5
£20m-£50m,FY2020/21,7-10,Framework,1
£20m-£50m,FY2020/21,Unknown,Non-framework,17
£20m-£50m,FY2020/21,Unknown,Framework,1
£20m-£50m,FY2021/22,1 (sole),Non-framework,27
£20m-£50m,FY2021/22,1 (sole),Framework,8
£20m-£50m,FY2021/22,10+,Non-framework,14
£20m-£50m,FY2021/22,10+,Framework,14
£20m-£50m,FY2021/22,2-3,Non-framework,38
£20m-£50m,FY2021/22,2-3,Framework,4
£20m-£50m,FY2021/22,4-6,Non-framework,25
£20m-£50m,FY2021/22,4-6,Framework,6
£20m-£50m,FY2021/22,7-10,Non-framework,10
£20m-£50m,FY2021/22,7-10,Framework,6
£20m-£50m,FY2021/22,Unknown,Non-framework,31
£20m-£50m,FY2021/22,Unknown,Framework,2
£20m-£50m,FY2022/23,1 (sole),Non-framework,49
£20m-£50m,FY2022/23,1 (sole),Framework,6
£20m-£50m,FY2022/23,10+,Non-framework,22
£20m-£50m,FY2022/23,10+,Framework,16
£20m-£50m,FY2022/23,2-3,Non-framework,42
£20m-£50m,FY2022/23,2-3,Framework,12
£20m-£50m,FY2022/23,4-6,Non-framework,18
£20m-£50m,FY2022/23,4-6,Framework,9
£20m-£50m,FY2022/23,7-10,Non-framework,9
£20m-£50m,FY2022/23,7-10,Framework,13
£20m-£50m,FY2022/23,Unknown,Non-framework,21
£20m-£50m,FY2022/23,Unknown,Framework,1
£20m-£50m,FY2023/24,1 (sole),Non-framework,54
£20m-£50m,FY2023/24,1 (sole),Framework,9
£20m-£50m,FY2023/24,10+,Non-framework,13
£20m-£50m,FY2023/24,10+,Framework,20
£20m-£50m,FY2023/24,2-3,Non-framework,44
£20m-£50m,FY2023/24,2-3,Framework,15
£20m-£50m,FY2023/24,4-6,Non-framework,25
£20m-£50m,FY2023/24,4-6,Framework,19
£20m-£50m,FY2023/24,7-10,Non-framework,9
£20m-£50m,FY2023/24,7-10,Framework,11
£20m-£50m,FY2023/24,Unknown,Non-framework,23
£20m-£50m,FY2023/24,Unknown,Framework,1
£20m-£50m,FY2024/25,1 (sole),Non-framework,110
£20m-£50m,FY2024/25,1 (sole),Framework,6
£20m-£50m,FY2024/25,10+,Non-framework,24
£20m-£50m,FY2024/25,10+,Framework,17
£20m-£50m,FY2024/25,2-3,Non-framework,52
£20m-£50m,FY2024/25,2-3,Framework,10
£20m-£50m,FY2024/25,4-6,Non-framework,39
£20m-£50m,FY2024/25,4-6,Framework,17
£20m-£50m,FY2024/25,7-10,Non-framework,14
£20m-£50m,FY2024/25,7-10,Framework,10
£20m-£50m,FY2024/25,Unknown,Non-framework,29
£20m-£50m,FY2025/26,1 (sole),Non-framework,76
£20m-£50m,FY2025/26,1 (sole),Framework,4
£20m-£50m,FY2025/26,10+,Non-framework,8
£20m-£50m,FY2025/26,10+,Framework,22
£20m-£50m,FY2025/26,2-3,Non-framework,37
£20m-£50m,FY2025/26,2-3,Framework,8
£20m-£50m,FY2025/26,4-6,Non-framework,17
£20m-£50m,FY2025/26,4-6,Framework,7
£20m-£50m,FY2025/26,7-10,Non-framework,15
£20m-£50m,FY2025/26,7-10,Framework,8
£20m-£50m,FY2025/26,Unknown,Non-framework,16
£50m-£100m,FY2020/21,1 (sole),Non-framework,9
£50m-£100m,FY2020/21,1 (sole),Framework,1
£50m-£100m,FY2020/21,10+,Non-framework,30
£50m-£100m,FY2020/21,2-3,Non-framework,5
£50m-£100m,FY2020/21,2-3,Framework,1
£50m-£100m,FY2020/21,4-6,Non-framework,7
£50m-£100m,FY2020/21,7-10,Non-framework,4
£50m-£100m,FY2020/21,Unknown,Non-framework,17
£50m-£100m,FY2021/22,1 (sole),Non-framework,18
£50m-£100m,FY2021/22,1 (sole),Framework,3
£50m-£100m,FY2021/22,10+,Non-framework,9
£50m-£100m,FY2021/22,10+,Framework,12
£50m-£100m,FY2021/22,2-3,Non-framework,22
£50m-£100m,FY2021/22,2-3,Framework,5
£50m-£100m,FY2021/22,4-6,Non-framework,16
£50m-£100m,FY2021/22,4-6,Framework,3
£50m-£100m,FY2021/22,7-10,Non-framework,6
£50m-£100m,FY2021/22,7-10,Framework,5
£50m-£100m,FY2021/22,Unknown,Non-framework,16
£50m-£100m,FY2022/23,1 (sole),Non-framework,12
£50m-£100m,FY2022/23,1 (sole),Framework,4
£50m-£100m,FY2022/23,10+,Non-framework,11
£50m-£100m,FY2022/23,10+,Framework,10
£50m-£100m,FY2022/23,2-3,Non-framework,21
£50m-£100m,FY2022/23,2-3,Framework,4
£50m-£100m,FY2022/23,4-6,Non-framework,15
£50m-£100m,FY2022/23,4-6,Framework,5
£50m-£100m,FY2022/23,7-10,Non-framework,5
£50m-£100m,FY2022/23,7-10,Framework,5
£50m-£100m,FY2022/23,Unknown,Non-framework,9
£50m-£100m,FY2023/24,1 (sole),Non-framework,23
£50m-£100m,FY2023/24,1 (sole),Framework,6
£50m-£100m,FY2023/24,10+,Non-framework,6
£50m-£100m,FY2023/24,10+,Framework,16
£50m-£100m,FY2023/24,2-3,Non-framework,30
£50m-£100m,FY2023/24,2-3,Framework,15
£50m-£100m,FY2023/24,4-6,Non-framework,12
£50m-£100m,FY2023/24,4-6,Framework,5
£50m-£100m,FY2023/24,7-10,Non-framework,4
£50m-£100m,FY2023/24,7-10,Framework,4
£50m-£100m,FY2023/24,Unknown,Non-framework,14
£50m-£100m,FY2023/24,Unknown,Framework,1
£50m-£100m,FY2024/25,1 (sole),Non-framework,35
£50m-£100m,FY2024/25,1 (sole),Framework,8
£50m-£100m,FY2024/25,10+,Non-framework,8
£50m-£100m,FY2024/25,10+,Framework,18
£50m-£100m,FY2024/25,2-3,Non-framework,33
£50m-£100m,FY2024/25,2-3,Framework,1
£50m-£100m,FY2024/25,4-6,Non-framework,19
£50m-£100m,FY2024/25,4-6,Framework,7
£50m-£100m,FY2024/25,7-10,Non-framework,3
£50m-£100m,FY2024/25,7-10,Framework,8
£50m-£100m,FY2024/25,Unknown,Non-framework,18
£50m-£100m,FY2025/26,1 (sole),Non-framework,40
£50m-£100m,FY2025/26,10+,Non-framework,4
£50m-£100m,FY2025/26,10+,Framework,5
£50m-£100m,FY2025/26,2-3,Non-framework,20
£50m-£100m,FY2025/26,2-3,Framework,2
£50m-£100m,FY2025/26,4-6,Non-framework,13
£50m-£100m,FY2025/26,4-6,Framework,1
£50m-£100m,FY2025/26,7-10,Non-framework,5
£50m-£100m,FY2025/26,7-10,Framework,2
£50m-£100m,FY2025/26,Unknown,Non-framework,14
£100m-£500m,FY2020/21,1 (sole),Non-framework,10
£100m-£500m,FY2020/21,10+,Non-framework,12
£100m-£500m,FY2020/21,2-3,Non-framework,6
£100m-£500m,FY2020/21,2-3,Framework,1
£100m-£500m,FY2020/21,4-6,Non-framework,9
£100m-£500m,FY2020/21,7-10,Non-framework,4
£100m-£500m,FY2020/21,Unknown,Non-framework,20
£100m-£500m,FY2021/22,1 (sole),Non-framework,12
£100m-£500m,FY2021/22,1 (sole),Framework,5
£100m-£500m,FY2021/22,10+,Non-framework,22
£100m-£500m,FY2021/22,10+,Framework,10
£100m-£500m,FY2021/22,2-3,Non-framework,13
£100m-£500m,FY2021/22,2-3,Framework,3
£100m-£500m,FY2021/22,4-6,Non-framework,13
£100m-£500m,FY2021/22,4-6,Framework,2
£100m-£500m,FY2021/22,7-10,Non-framework,2
£100m-£500m,FY2021/22,7-10,Framework,4
£100m-£500m,FY2021/22,Unknown,Non-framework,33
£100m-£500m,FY2021/22,Unknown,Framework,1
£100m-£500m,FY2022/23,1 (sole),Non-framework,17
£100m-£500m,FY2022/23,1 (sole),Framework,7
£100m-£500m,FY2022/23,10+,Non-framework,14
£100m-£500m,FY2022/23,10+,Framework,14
£100m-£500m,FY2022/23,2-3,Non-framework,18
£100m-£500m,FY2022/23,2-3,Framework,9
£100m-£500m,FY2022/23,4-6,Non-framework,9
£100m-£500m,FY2022/23,4-6,Framework,1
£100m-£500m,FY2022/23,7-10,Non-framework,3
£100m-£500m,FY2022/23,7-10,Framework,6
£100m-£500m,FY2022/23,Unknown,Non-framework,14
£100m-£500m,FY2022/23,Unknown,Framework,2
£100m-£500m,FY2023/24,1 (sole),Non-framework,33
£100m-£500m,FY2023/24,1 (sole),Framework,9
£100m-£500m,FY2023/24,10+,Non-framework,12
£100m-£500m,FY2023/24,10+,Framework,14
£100m-£500m,FY2023/24,2-3,Non-framework,24
£100m-£500m,FY2023/24,2-3,Framework,9
£100m-£500m,FY2023/24,4-6,Non-framework,12
£100m-£500m,FY2023/24,4-6,Framework,10
£100m-£500m,FY2023/24,7-10,Non-framework,7
£100m-£500m,FY2023/24,7-10,Framework,5
£100m-£500m,FY2023/24,Unknown,Non-framework,9
£100m-£500m,FY2024/25,1 (sole),Non-framework,54
£100m-£500m,FY2024/25,1 (sole),Framework,6
£100m-£500m,FY2024/25,10+,Non-framework,9
£100m-£500m,FY2024/25,10+,Framework,20
£100m-£500m,FY2024/25,2-3,Non-framework,23
£100m-£500m,FY2024/25,2-3,Framework,7
£100m-£500m,FY2024/25,4-6,Non-framework,13
£100m-£500m,FY2024/25,4-6,Framework,10
£100m-£500m,FY2024/25,7-10,Non-framework,6
£100m-£500m,FY2024/25,7-10,Framework,10
£100m-£500m,FY2024/25,Unknown,Non-framework,13
£100m-£500m,FY2024/25,Unknown,Framework,1
£100m-£500m,FY2025/26,1 (sole),Non-framework,53
£100m-£500m,FY2025/26,1 (sole),Framework,2
£100m-£500m,FY2025/26,10+,Non-framework,10
£100m-£500m,FY2025/26,10+,Framework,17
£100m-£500m,FY2025/26,2-3,Non-framework,23
£100m-£500m,FY2025/26,2-3,Framework,2
£100m-£500m,FY2025/26,4-6,Non-framework,9
£100m-£500m,FY2025/26,4-6,Framework,6
£100m-£500m,FY2025/26,7-10,Non-framework,4
£100m-£500m,FY2025/26,7-10,Framework,2
£100m-£500m,FY2025/26,Unknown,Non-framework,7
£500m+,FY2020/21,1 (sole),Non-framework,1
£500m+,FY2020/21,10+,Non-framework,8
£500m+,FY2020/21,2-3,Non-framework,4
£500m+,FY2020/21,4-6,Non-framework,2
£500m+,FY2020/21,4-6,Framework,1
£500m+,FY2020/21,Unknown,Non-framework,4
£500m+,FY2020/21,Unknown,Framework,1
£500m+,FY2021/22,1 (sole),Non-framework,6
£500m+,FY2021/22,1 (sole),Framework,3
£500m+,FY2021/22,10+,Non-framework,8
£500m+,FY2021/22,10+,Framework,9
£500m+,FY2021/22,2-3,Non-framework,6
£500m+,FY2021/22,2-3,Framework,5
£500m+,FY2021/22,4-6,Framework,2
£500m+,FY2021/22,7-10,Non-framework,2
£500m+,FY2021/22,7-10,Framework,3
£500m+,FY2021/22,Unknown,Non-framework,11
£500m+,FY2022/23,1 (sole),Non-framework,3
£500m+,FY2022/23,1 (sole),Framework,6
£500m+,FY2022/23,10+,Non-framework,10
£500m+,FY2022/23,10+,Framework,10
£500m+,FY2022/23,2-3,Framework,3
£500m+,FY2022/23,4-6,Non-framework,3
£500m+,FY2022/23,4-6,Framework,1
£500m+,FY2022/23,7-10,Framework,4
£500m+,FY2022/23,Unknown,Non-framework,79
£500m+,FY2023/24,1 (sole),Non-framework,23
£500m+,FY2023/24,1 (sole),Framework,5
£500m+,FY2023/24,10+,Non-framework,2
£500m+,FY2023/24,10+,Framework,15
£500m+,FY2023/24,2-3,Non-framework,5
£500m+,FY2023/24,2-3,Framework,7
£500m+,FY2023/24,4-6,Non-framework,3
£500m+,FY2023/24,4-6,Framework,5
£500m+,FY2023/24,7-10,Framework,3
£500m+,FY2023/24,Unknown,Non-framework,7
£500m+,FY2024/25,1 (sole),Non-framework,44
£500m+,FY2024/25,1 (sole),Framework,4
£500m+,FY2024/25,10+,Non-framework,3
£500m+,FY2024/25,10+,Framework,19
£500m+,FY2024/25,2-3,Non-framework,8
£500m+,FY2024/25,2-3,Framework,5
£500m+,FY2024/25,4-6,Non-framework,2
£500m+,FY2024/25,4-6,Framework,5
£500m+,FY2024/25,7-10,Non-framework,1
£500m+,FY2024/25,7-10,Framework,2
£500m+,FY2024/25,Unknown,Non-framework,29
£500m+,FY2025/26,1 (sole),Non-framework,45
£500m+,FY2025/26,1 (sole),Framework,2
£500m+,FY2025/26,10+,Non-framework,1
£500m+,FY2025/26,10+,Framework,9
£500m+,FY2025/26,2-3,Non-framework,8
£500m+,FY2025/26,4-6,Non-framework,3
£500m+,FY2025/26,4-6,Framework,1
£500m+,FY2025/26,7-10,Non-framework,1
£500m+,FY2025/26,7-10,Framework,2
£500m+,FY2025/26,Unknown,Non-framework,9
£500m+,FY2025/26,Unknown,Framework,1
