Buyer Name,Award Count,Total Value £,Avg Value £,Min Value £,Max Value £
NHS Shared Business Services Limited,1238,369828500000.0,298730613.89,6000000.0,1600000000.0
North Yorkshire County Council,542,161627420000.0,298205571.96,5600000.0,770000000.0
The Minister for the Cabinet Office acting through Crown Commercial Service,515,470045645901.7,912709992.04,5000000.0,51000000000.0
Ministry of Defence,378,222321583256.91,588152336.66,5000000.0,12440843925.84
NHS England,377,76831394918.27,203796803.5,5000000.0,5175000000.0
Surrey County Council,266,12576116660.4,47278634.06,5154629.4,1193300000.0
Nottinghamshire County Council,239,42780258643.47,178996898.09,5000000.0,3700000000.0
National Highways Limited,239,234081284915.33,979419602.16,6000000.0,1000000000.0
Warwickshire County Council,235,12014805950.25,51126833.83,5974500.0,552317723.0
Yorkshire Purchasing Organisation,233,1848025000000.0,7931437768.24,12500000.0,8000000000.0
CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,230,54554000000.0,237191304.35,26000000.0,300000000.0
Barnsley Metropolitan Borough Council,212,14333435086.0,67610542.86,5155985.0,100000000.0
NHS West Yorkshire,194,2761294580.5,14233477.22,11000000.0,395375823.0
Fusion21 Members Consortium,174,9984750000.0,57383620.69,5000000.0,250000000.0
Northamptonshire Children's Trust,173,8028031000.0,46404803.47,6000000.0,252000000.0
ESPO,173,9856462060.65,56973769.14,5000000.0,3600000000.0
Countess of Chester Hospital NHS Foundation Trust,166,33660750000.0,202775602.41,5000000.0,10000000000.0
HAMPSHIRE COUNTY COUNCIL,162,15177089941.95,93685740.38,5000000.0,6201300000.0
Transport for London,152,9974135621.97,65619313.3,5000000.0,2322600000.0
LHC,150,5456454528.0,36376363.52,5000000.0,400000000.0
NHS Leeds CCG,145,1595000000.0,11000000.0,11000000.0,11000000.0
Leicestershire County Council,129,12134629082.0,94066892.11,5000000.0,125000000.0
London Borough of Bromley,128,14182428955.7,110800226.22,6389000.0,1110000000.0
Department for Work and Pensions,127,32241281601.67,253868359.07,5037912.24,1382272693.0
Manchester City Council,126,2164932419.92,17182003.33,5000000.0,200000000.0
YPO,125,215045972457.2,1720367779.66,5000000.0,10000000000.0
The North Yorkshire Council,124,2105626533.0,16980859.14,7000000.0,48243390.0
Home Office,113,9403441289.15,83216294.59,5260000.0,289059687.0
Foreign Commonwealth and Development Office,113,45988960058.85,406981947.42,5000000.0,18802315500.0
NHMF (NPC) LIMITED,112,11516000000.0,102821428.57,5000000.0,450000000.0
Dorset Council,112,1143641598.74,10211085.7,8000000.0,42000000.0
NHS North East Ambulance Service,109,3321552000.0,30472954.13,6912000.0,50008000.0
Lancashire County Council,105,6218517521.77,59223976.4,5100000.0,4155200000.0
Homes England (the name adopted by the Homes and Communities Agency),105,5967800000.0,56836190.48,5000000.0,140000000.0
Department for Education,100,7396586353.89,73965863.54,5055900.15,500000000.0
City of Bradford Metropolitan District Council,96,9505223945.88,99012749.44,6237979.63,308000000.0
