CPV Division,CPV 4-digit,Description (sample),Award Count,Total Value £,Avg Value £
03,0340,Forestry and logging products,64,800576571.0,12509008.92
03,0344,Forestry products,61,735000000.0,12049180.33
03,0341,Timber,61,735000000.0,12049180.33
03,0345,Shrubs,55,5405601553.8,98283664.61
03,0300,"Agricultural, farming, fishing, forestry and related products",40,84636789501.0,2115919737.53
03,0312,Cut flowers,36,4600000000.0,127777777.78
03,0332,Sheep,1,7498935.0,7498935.0
09,0932,District heating,147,283724883737.45,1411566585.76
09,0933,Solar collectors for heat production,96,506335444555.75,2355048579.33
09,0930,"Electricity, heating, solar and nuclear energy",76,114367843373.35,1504840044.39
09,0931,Electricity,57,145981419166.0,2561077529.23
09,0912,Mains gas,22,142492280000.0,5480472307.69
09,0900,"Petroleum products, fuel, electricity and other sources of energy",14,166378287761.0,11884163411.5
09,0934,Plutonium,5,48400000.0,9680000.0
09,0911,Coal-based fuels,4,235800000.0,58950000.0
09,0913,Heating oil,3,500000000.0,166666666.67
09,0910,Fuels,2,1309900000.0,654950000.0
14,1441,Rock salt,7,226029000.0,32289857.14
14,1475,"Cadmium, lutetium, hafnium, tantalum and tungsten",2,34360249.0,17180124.5
14,1421,Soil,2,34000000.0,17000000.0
14,1490,Recovered secondary raw materials,1,70000000000.0,70000000000.0
15,1598,Non-alcoholic beverages,55,5900000000.0,107272727.27
15,1589,Deep-frozen products,46,22379491069.67,385853294.3
15,1599,Tobacco goods,26,52000000000.0,2000000000.0
15,1580,Miscellaneous food products,5,3852500000.0,770500000.0
15,1500,"Food, beverages, tobacco and related products",4,6789064346.0,1697266086.5
15,1588,Special nutritional products,3,3518600000.0,1172866666.67
15,1533,Fresh or frozen vegetables,3,255000000.0,42500000.0
15,1531,"Diced, sliced and other frozen potatoes",3,255000000.0,42500000.0
15,1522,Frozen fish,3,382500000.0,42500000.0
15,1581,Sandwiches,2,18600000.0,9300000.0
15,1590,"Beverages, tobacco and related products",1,500000000.0,500000000.0
16,1633,Pick-up balers,77,2362000000.0,30675324.68
16,1600,Agricultural machinery,27,166200000000.0,6155555555.56
16,1660,Specialist agricultural or forestry machinery,3,24000000.0,8000000.0
16,1610,Agricultural and forestry machinery for soil preparation or cultivation,3,24000000.0,8000000.0
18,1810,"Occupational clothing, special workwear and accessories",46,94626000000.0,2057086956.52
18,1880,Footwear,40,4618000000.0,115450000.0
18,1800,"Clothing, footwear, luggage articles and accessories",39,74588000000.0,1912512820.51
18,1842,Clothing accessories,36,1080000000.0,30000000.0
18,1822,Corporate clothing,36,1080000000.0,30000000.0
18,1850,"Jewellery, watches and related articles",26,52000000000.0,2000000000.0
18,1853,Presents and rewards,11,415200000.0,37745454.55
18,1893,Goods-packing bags,3,45662000000.0,4151090909.09
18,1892,Pouches,1,6500000000.0,6500000000.0
18,1841,Baby clothing,1,56225809.2,56225809.2
18,1840,Special clothing and accessories,1,3500000000.0,3500000000.0
18,1811,Industrial clothing,1,16000000.0,8000000.0
19,1923,Linen,23,6800000000.0,295652173.91
19,1960,"Leather, textile, rubber and plastic waste",3,88000000.0,29333333.33
19,1962,Textile waste,2,22564151.0,11282075.5
22,2245,Advertising stickers and strips,49,16025925809.2,271625861.17
22,2247,Computer manuals,29,28462000000.0,258745454.55
22,2212,Technical publications,27,7060000000.0,261481481.48
22,2283,Exercise papers,26,52000000000.0,2000000000.0
22,2246,Advertising material,19,1110400000.0,44416000.0
22,2299,Corrugated paper or paperboard,18,23500000000.0,340579710.14
22,2261,Printing ink,17,4250000000.0,250000000.0
22,2200,Printed matter and related products,17,14233410451.0,837259438.29
22,2210,"Printed books, brochures and leaflets",9,1204400000.0,133822222.22
22,2282,Business forms,8,4456250000.0,297083333.33
22,2231,Designs,8,788000000.0,98500000.0
22,2290,Miscellaneous printed matter,6,1162000000.0,193666666.67
22,2280,"Paper or paperboard registers, account books, binders, forms and other articles of printed stationery",6,1168000000.0,194666666.67
22,2220,"Newspapers, journals, periodicals and magazines",6,1054400000.0,175733333.33
22,2211,"Dictionaries, maps, music books and other books",6,116200000.0,10563636.36
22,2215,Brochures,3,322000000.0,107333333.33
22,2244,Cheque forms,2,222000000.0,111000000.0
22,2216,Booklets,2,222000000.0,111000000.0
22,2214,Leaflets,1,100000000.0,100000000.0
24,2461,Bird-scaring cartridges,55,5417760000.0,98504727.27
24,2460,Explosives,26,52000000000.0,2000000000.0
24,2411,Carbon dioxide,23,2925825388.4,117033015.54
24,2496,Water-treatment chemicals,16,323463000.0,20216437.5
24,2495,Chemical toilets,15,1367183780.0,91145585.33
24,2431,Carbon,10,565640000.0,56564000.0
24,2400,Chemical products,4,76036300000.0,19009075000.0
24,2410,Gases,2,1570400000.0,785200000.0
30,3023,Audio cards,144,281945742895.0,260097548.8
30,3021,Barcode readers,79,92479618958.0,268836101.62
30,3020,Computer equipment and supplies,77,23525632948.31,305527700.63
30,3016,Agency fuel cards,58,16209281277.66,234917119.97
30,3019,Bar-coded labels,46,102312432296.0,511562161.48
30,3000,"Office and computing machinery, equipment and supplies except furniture and software packages",45,174454869649.0,3876774881.09
30,3012,Digital duplicators,24,75281000000.0,259589655.17
30,3014,Calculating machines,19,14355500000.0,270858490.57
30,3017,Label making machines,17,8500000000.0,250000000.0
30,3013,Addressing machines,7,24157000000.0,671027777.78
30,3010,"Office machinery, equipment and supplies except computers, printers and furniture",2,440000000.0,220000000.0
