"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"DFE-2003","N/D","SCS1","Deputy Director","Construction Delivery - EESW & London Deputy Director","Department for Education","Department for Education","Construction Delivery East England, South West and London","0370 000 2288","N/D","DFE-2568","3166621","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2004","N/D","SCS1","Deputy Director","Independent Education and School Safeguarding Deputy Director","Department for Education","Department for Education","Independent Education and School Safeguarding","0370 000 2288","N/D","DFE-2078","1665922","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2009","N/D","SCS1","Deputy Director","Funding Policy Unit Deputy Director","Department for Education","Department for Education","Operations and Infrastructure Group","0370 000 2288","N/D","DFE-2159","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2010","N/D","SCS1","Deputy Director","CSC Data and Digital Deputy Director","Department for Education","Department for Education","CSC Data and Digital","0370 000 2288","N/D","DFE-2320","1557313","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2017","Julia Kinniburgh","SCS3","Director General","Director General of Schools Group","Department for Education","Department for Education","Schools Group","0370 000 2288","N/D","DFE-2071","689248","1.00","160000","N/A","","Other","London","nan","1"
"DFE-2019","Ailsa Harris","SCS2","Director","Director of Further Education Oversight","Department for Education","Department for Education","Further Education Oversight","0370 000 2288","N/D","DFE-2137","1698973","1.00","85000","N/A","","Other","London","nan","1"
"DFE-2021","N/D","SCS1","Deputy Director","Regions Group: National Deputy Director","Department for Education","Department for Education","Regions Group: National","0370 000 2288","N/D","DFE-2577","3979448","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2022","N/D","SCS1","Deputy Director","Regions Group: East Midlands Deputy Director","Department for Education","Department for Education","Regions Group: East Midlands","0370 000 2288","N/D","DFE-2144","2181257","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2025","N/D","SCS1","Deputy Director","Estates, Security and People Deputy Director","Department for Education","Department for Education","Estates, Security and People","0370 000 2288","N/D","DFE-2536","2084609","1.00","N/A","N/A","","Other","East Midlands","nan","1"
"DFE-2043","Isabelle Trowler","SCS2","Director","Chief Social Worker for Children and Families","Department for Education","Department for Education","Families Group","0370 000 2288","N/D","DFE-2101","0","1.00","160000","N/A","","Other","London","nan","1"
"DFE-2056","Katherine Cowell","SCS2","Director","Regions Group: North East Director","Department for Education","Department for Education","Regions Group: North East","0370 000 2288","N/D","DFE-2302","175096","1.00","110000","N/A","","Other","North East","nan","1"
"DFE-2057","N/D","SCS1","Deputy Director","Assessment Operations and Services Deputy Director","Department for Education","Standard and Testing Agency","Assessment Operations and Services","0370 000 2288","N/D","DFE-2135","2426955","0.60","N/A","N/A","","Other","London","nan","1"
"DFE-2062","Vicky Beer","SCS2","Director","Regions Group: North West Director","Department for Education","Department for Education","Regions Group: North West","0370 000 2288","N/D","DFE-2302","85394","0.90","145000","N/A","","Other","North East","nan","1"
"DFE-2071","Susan Acland-Hood","SCS4","Permanent Secretary","Department for Education Permanent Secretary","Department for Education","Department for Education","Department for Education","0370 000 2288","N/D","XX","874723","1.00","185000","N/A","","Other","London","nan","1"
"DFE-2072","N/D","SCS1","Deputy Director","Estates Strategy and Policy Deputy Director","Department for Education","Department for Education","Education Estates Strategy and Policy Unit","0370 000 2288","N/D","DFE-2598","1341785","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2078","Kate Dixon","SCS2","Director","Director of Strategy and Safer Streets","Department for Education","Department for Education","Strategy and Safer Streets","0370 000 2288","N/D","DFE-2101","605830","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2082","Kate Dethridge","SCS2","Director","Regions Group: South East Director","Department for Education","Department for Education","Regions Group: South East","0370 000 2288","N/D","DFE-2302","70486","1.00","140000","N/A","","Other","East Midlands","nan","1"
"DFE-2083","Jonathan Duff","SCS2","Director","Regions Group: East of England Director","Department for Education","Department for Education","Regions Group: East of England","0370 000 2288","N/D","DFE-2302","205153","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2084","N/D","SCS1","Deputy Director","SFSO Operational Delivery - North Deputy Director","Department for Education","Department for Education","SFSO Operational Delivery - North","0370 000 2288","N/D","DFE-2198","2523135","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2085","N/D","SCS1","Deputy Director","SFSO Operational Delivery - South Deputy Director","Department for Education","Department for Education","SFSO Operational Delivery - South","0370 000 2288","N/D","DFE-2198","2443784","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2090","Susan Lovelock","SCS2","Director","Regions Group: West Midlands Director","Department for Education","Department for Education","Regions Group: West Midlands","0370 000 2288","N/D","DFE-2302","83633","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2092","N/D","SCS1","Deputy Director","Regions Group: South West and RISE National Division Deputy Director","Department for Education","Department for Education","Regions Group: South West and RISE National Division","0370 000 2288","N/D","DFE-2614","832507","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2093","N/D","SCS1","Deputy Director","Post-16 Pathways Programme Deputy Director","Department for Education","Department for Education","Post-16 Pathways Programme","0370 000 2288","N/D","DFE-2696","2342026","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2098","Robin Punt","SCS2","Director","Director of Communications","Department for Education","Department for Education","Communications","0370 000 2288","N/D","DFE-2543","536911","1.00","135000","N/A","","Other","London","nan","1"
"DFE-2100","N/D","SCS1","Deputy Director","FE Funding Deputy Director","Department for Education","Department for Education","Further Education Funding","0370 000 2288","N/D","DFE-2019","1116564","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2101","Gila Sacks","SCS3","Director General","Director General of Families Group","Department for Education","Department for Education","Families Group","0370 000 2288","N/D","DFE-2071","697291","1.00","130000","N/A","","Other","London","nan","1"
"DFE-2104","N/D","SCS1","Deputy Director","Level 2, 16-19 English & Maths Deputy Director","Department for Education","Department for Education","Level 2, 16-19 English & Maths","0370 000 2288","N/D","DFE-2696","1122543","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2117","N/D","SCS1","Deputy Director","CSC Serious Incidents and National Safeguarding Panel Deputy Director","Department for Education","Department for Education","CSC Serious Incidents and National Safeguarding Panel","0370 000 2288","N/D","DFE-2320","1818029","1.00","N/A","N/A","","Other","South West","nan","1"
"DFE-2124","Shafiqa Jody Dawood","SCS2","Director","Chief Digital Officer","Department for Education","Department for Education","Customer Experience and Digital Directorate","0370 000 2288","N/D","DFE-2536","2447523","1.00","100000","N/A","","Other","North East","nan","1"
"DFE-2127","N/D","SCS1","Deputy Director","Products, Quality and Market Deputy Director","Department for Education","Department for Education","Products, Quality and Market","0370 000 2288","N/D","DFE-2129","1366424","1.00","N/A","N/A","","Other","East Midlands","nan","1"
"DFE-2129","Kate Ridley-Pepper","SCS2","Director","Director of Work Based Skills","Department for Education","Department for Education","Work Based Skills","0370 000 2288","N/D","DFE-2137","543691","1.00","105000","N/A","","Other","London","nan","1"
