"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"961","Bowler, James","SCS4","Permanent Secretary to the Treasury","Running of the Department","HM Treasury","HM Treasury","Ministerial & Communications","020 7270 5000","public.enquiries@hmtreasury.gov.uk","XX","977351","1.00","205000","209999","","Policy Profession","London","","1.00"
"1326","Beckett, Samantha","SCS3","Second Permanent Secretary","Economic and Fiscal Advice, and Head of the Government Economic Service","HM Treasury","HM Treasury","Ministerial & Communications","020 7270 5000","public.enquiries@hmtreasury.gov.uk","961","231873","1.00","170000","174999","","Policy Profession","London","","1.00"
"381","Glover, Jessica","SCS3","Director General and Chief Economic Adviser","Expenditure and Policy on Growth-Related Services and Business","HM Treasury","HM Treasury","Ministerial & Communications","020 7270 5000","public.enquiries@hmtreasury.gov.uk","3839","611849","1.00","155000","159999","","Government Economic Service","London","","1.00"
"3837","Macfarlane, William","SCS3","Director General - Tax and Welfare","Tax Administration, Spending and Reform","HM Treasury","HM Treasury","Personal Tax, Welfare & Pensions","020 7270 5000","public.enquiries@hmtreasury.gov.uk","930","815861","1.00","N/A","N/A","","Government Tax Profession","London","","1.00"
"492","Nurse, Gwyneth","SCS3","Director General - Financial Services","Financial Services","HM Treasury","HM Treasury","Ministerial & Communications","020 7270 5000","public.enquiries@hmtreasury.gov.uk","961","459269","1.00","150000","154999","","Policy Profession","London","","1.00"
"3839","O'Neil, Henry","SCS3","Permanent Secretary to the Treasury","Permanent Secretary","HM Treasury","HM Treasury","Ministerial & Communications","020 7270 5000","public.enquiries@hmtreasury.gov.uk","961","155203","1.00","200000","204999","","Policy Profession","London","","1.00"
"930","Russell, Elizabeth","SCS3","Second Permanent Secretary","Policy Issues Relating to Tax and Growth","HM Treasury","HM Treasury","Ministerial & Communications","020 7270 5000","public.enquiries@hmtreasury.gov.uk","961","622936","1.00","165000","169999","","Policy Profession","North East","","1.00"
"3824","Seaward, Rebecca","SCS3","Chief Operating Officer NISTA","National Infrastructure","HM Treasury","HM Treasury","National Infrastructure and Service Transformation Authority","020 7270 5000","public.enquiries@hmtreasury.gov.uk","930","845489","1.00","220000","224999","","Policy Profession","London","","1.00"
"2226","Smewing, Conrad","SCS3","Director General - Public Spending and Finance","Public Spending","HM Treasury","HM Treasury","Public Spending","020 7270 5000","public.enquiries@hmtreasury.gov.uk","930","737231","1.00","N/A","N/A","","Policy Profession","London","","1.00"
"1010","Whyte, Lindsey","SCS3","Director General - International and EU","International Finance","HM Treasury","HM Treasury","International Partnerships and Trade","020 7270 5000","public.enquiries@hmtreasury.gov.uk","961","573840","1.00","150000","154999","","Policy Profession","North East","","1.00"
