"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"267548","N/D","OF-6","Defence Attache Beijing","Working with Her Majesty’s Ambassador as Defence Attaché for China, this role provides defence support and advice for the United Kingdom’s strategic County Business Plan .  The Defence Attaché is responsible for all in country defence relationships and defence engagement activities, outside of operations, as the personal representative of the Chief of Defence Staff.","Ministry of Defence","Ministry of Defence","K00 Unknown Departments","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30039224","0","1.00","0","0","","Military","Overseas","nan","1.00"
"264819","N/D","OF-6","Defence Attache Riyadh","Working with Her Majesty’s Ambassador as Defence Attaché for the Kingdom of Saudi Arabia, this role provides defence support and advice for the United Kingdom’s strategic County Business Plan .  The Defence Attaché is responsible for all in country defence relationships and defence engagement activities, outside of operations, as the personal representative of the Chief of Defence Staff.","Ministry of Defence","Ministry of Defence","K00 Unknown Departments","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30001719","0","1.00","0","0","","Military","Overseas","nan","1.00"
"30002257","N/D","OF-7","DS Sec","Head of the Defence Secretary team, overseeing the delivery of the Haythornwaite Review, the Honours process and commemorative events. Engagement with Buckingham Palace and Assistant Chief of Defence Staff for Personnel Capability","Ministry of Defence","Ministry of Defence","K00 Unknown Departments","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","204200","0","1.00","0","0","","Military","London","nan","1.00"
"142220","N/D","OF-6","Commander British Forces Cyprus","Responsible for the British Armed Forces stationed in the UK Sovereign Base Areas of Akrotiri and Dhekelia on the island of Cyprus.","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","204200","0","1.00","0","0","","Military","London","nan","1.00"
"234511","N/D","SCS1","NAD-CSM-J2CF FPA Deputy Dir","Responsible for the implementation of Finance Functional Leadership.","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","206135","0","1.00","0","0","","Government Finance Profession","South West","nan","1.00"
"30031536","N/D","SCS1","DARR-Deputy Director-Programmes","Responsible for Afgan Relocation programmes","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","268857","0","1.00","0","0","","Project Delivery Profession","London","nan","1.00"
"30039224","Wilson, John (John), Mr","SCS3","DG-ARP","Responsible for the Afghan Resettlement Programme","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","5654","0","1.00","145000","149999","","Policy Profession","London","nan","1.00"
"30021271","N/D","SCS1","DARR-Resettlement Deputy Director","Responsible for Afgan resettlement programmes","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","268857","0","1.00","0","0","","Project Delivery Profession","London","nan","1.00"
"110351","N/D","SCS1","HOCS SSBR-Hd","Deputy Director of Security, Safety and Building Services","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","106029","0","1.00","0","0","","Operational Delivery Profession","London","nan","1.00"
"111791","N/D","SCS1","SPO DSR-Head","Supports Defence Security","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","226112","0","1.00","0","0","","Government Security Profession","London","nan","1.00"
"226112","N/D","SCS2","SPO DSR-Dir","SPO DSR-Dir","Ministry of Defence","Ministry of Defence","LEVEL 2: COO","020 7807 0425","CTLBFin-PlanningGrpMailbox@mod.gov.uk","30033545","0","1.00","135000","139999","","Government Security Profession","South West","Individual's name has been redacted for security purposes.","1.00"
